City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
392,pangnirtung,66.1451,-65.7125,3.0,70,75,5.14,CA,1677988719
393,nautla,20.2167,-96.7833,20.57,86,0,0.83,MX,1677988720
394,karaton,-6.3424,106.1045,28.27,69,92,2.77,ID,1677988723
395,tarko-sale,64.9225,77.785,-24.95,100,95,2.97,RU,1677988724
396,coahuayana,18.7333,-103.6833,20.21,92,100,1.3,MX,1677988726
397,turayf,31.6725,38.6637,9.14,40,0,3.6,SA,1677988727
398,russellville,35.2784,-93.1338,9.43,72,0,0.0,US,1677988729
399,lukulu,-14.3707,23.242,18.1,95,68,2.34,ZM,1677988730
400,marion,39.7684,-86.1555,8.21,73,40,3.09,US,1677988731
401,venice,27.0998,-82.4543,24.99,93,0,2.57,US,1677988733
402,pembroke,45.8168,-77.1162,-10.48,99,64,0.64,CA,1677988735
403,norsup,-16.0667,167.3833,29.53,70,61,4.7,VU,1677988737
404,qasigiannguit,68.8193,-51.1922,-8.75,85,12,1.82,GL,1677988738
405,nimbahera,24.6167,74.6833,27.6,26,5,1.99,IN,1677988739
406,sauda,59.6506,6.3542,-0.73,87,52,3.58,NO,1677988741
407,yuanping,38.7153,112.7575,12.06,17,5,1.75,CN,1677988743
408,bedford,52.1346,-0.4663,3.84,70,100,2.49,GB,1677988609
409,back mountain,41.3359,-75.9963,2.45,79,93,1.91,US,1677988746
410,nhulunbuy,-12.2333,136.7667,31.34,66,40,7.2,AU,1677988523
